GENESIS-Tabelle: 12411-04-02-4-B
Bevölkerung nach Geschlecht und Altersjahren (79) - Stichtag;;;;;
31.12. - (ab 2011) regionale Ebenen;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;
Bevölkerungsstand (Anzahl);;;;;
Stichtag: 31.12.2020;;;;;
;;;Insgesamt;männlich;weiblich
05;Nordrhein-Westfalen;unter 1 Jahr;169017;86955;82062
05;Nordrhein-Westfalen;1 bis unter 2 Jahre;171563;88124;83439
05;Nordrhein-Westfalen;2 bis unter 3 Jahre;175522;90119;85403
05;Nordrhein-Westfalen;3 bis unter 4 Jahre;176136;90769;85367
05;Nordrhein-Westfalen;4 bis unter 5 Jahre;177663;91009;86654
05;Nordrhein-Westfalen;5 bis unter 6 Jahre;171177;88042;83135
05;Nordrhein-Westfalen;6 bis unter 7 Jahre;168470;86657;81813
05;Nordrhein-Westfalen;7 bis unter 8 Jahre;161306;83399;77907
05;Nordrhein-Westfalen;8 bis unter 9 Jahre;162166;83280;78886
05;Nordrhein-Westfalen;9 bis unter 10 Jahre;158210;81274;76936
05;Nordrhein-Westfalen;10 bis unter 11 Jahre;162833;83897;78936
05;Nordrhein-Westfalen;11 bis unter 12 Jahre;160699;82816;77883
05;Nordrhein-Westfalen;12 bis unter 13 Jahre;166213;85721;80492
05;Nordrhein-Westfalen;13 bis unter 14 Jahre;165346;85134;80212
05;Nordrhein-Westfalen;14 bis unter 15 Jahre;163689;84395;79294
05;Nordrhein-Westfalen;15 bis unter 16 Jahre;166102;85821;80281
05;Nordrhein-Westfalen;16 bis unter 17 Jahre;169952;87605;82347
05;Nordrhein-Westfalen;17 bis unter 18 Jahre;171772;88881;82891
05;Nordrhein-Westfalen;18 bis unter 19 Jahre;175959;91075;84884
05;Nordrhein-Westfalen;19 bis unter 20 Jahre;183305;95076;88229
05;Nordrhein-Westfalen;20 bis unter 21 Jahre;195067;101611;93456
05;Nordrhein-Westfalen;21 bis unter 22 Jahre;199237;104242;94995
05;Nordrhein-Westfalen;22 bis unter 23 Jahre;205812;107439;98373
05;Nordrhein-Westfalen;23 bis unter 24 Jahre;216929;113392;103537
05;Nordrhein-Westfalen;24 bis unter 25 Jahre;217257;113149;104108
05;Nordrhein-Westfalen;25 bis unter 26 Jahre;213927;111405;102522
05;Nordrhein-Westfalen;26 bis unter 27 Jahre;218560;113596;104964
05;Nordrhein-Westfalen;27 bis unter 28 Jahre;225351;116321;109030
05;Nordrhein-Westfalen;28 bis unter 29 Jahre;227598;117341;110257
05;Nordrhein-Westfalen;29 bis unter 30 Jahre;231901;119156;112745
05;Nordrhein-Westfalen;30 bis unter 31 Jahre;240345;123601;116744
05;Nordrhein-Westfalen;31 bis unter 32 Jahre;233163;119183;113980
05;Nordrhein-Westfalen;32 bis unter 33 Jahre;236917;121088;115829
05;Nordrhein-Westfalen;33 bis unter 34 Jahre;231361;118193;113168
05;Nordrhein-Westfalen;34 bis unter 35 Jahre;226871;114834;112037
05;Nordrhein-Westfalen;35 bis unter 36 Jahre;218713;110332;108381
05;Nordrhein-Westfalen;36 bis unter 37 Jahre;217275;109498;107777
05;Nordrhein-Westfalen;37 bis unter 38 Jahre;217665;109295;108370
05;Nordrhein-Westfalen;38 bis unter 39 Jahre;222607;111454;111153
05;Nordrhein-Westfalen;39 bis unter 40 Jahre;220489;109687;110802
05;Nordrhein-Westfalen;40 bis unter 41 Jahre;221752;109812;111940
05;Nordrhein-Westfalen;41 bis unter 42 Jahre;209848;103391;106457
05;Nordrhein-Westfalen;42 bis unter 43 Jahre;207331;102293;105038
05;Nordrhein-Westfalen;43 bis unter 44 Jahre;207634;102959;104675
05;Nordrhein-Westfalen;44 bis unter 45 Jahre;208336;102763;105573
05;Nordrhein-Westfalen;45 bis unter 46 Jahre;203262;100522;102740
05;Nordrhein-Westfalen;46 bis unter 47 Jahre;205988;101377;104611
05;Nordrhein-Westfalen;47 bis unter 48 Jahre;208303;102612;105691
05;Nordrhein-Westfalen;48 bis unter 49 Jahre;224596;111195;113401
05;Nordrhein-Westfalen;49 bis unter 50 Jahre;245175;121371;123804
05;Nordrhein-Westfalen;50 bis unter 51 Jahre;255587;127208;128379
05;Nordrhein-Westfalen;51 bis unter 52 Jahre;279492;139481;140011
05;Nordrhein-Westfalen;52 bis unter 53 Jahre;292185;145899;146286
05;Nordrhein-Westfalen;53 bis unter 54 Jahre;298179;149174;149005
05;Nordrhein-Westfalen;54 bis unter 55 Jahre;304654;152592;152062
05;Nordrhein-Westfalen;55 bis unter 56 Jahre;302344;151431;150913
05;Nordrhein-Westfalen;56 bis unter 57 Jahre;305439;153046;152393
05;Nordrhein-Westfalen;57 bis unter 58 Jahre;298750;149384;149366
05;Nordrhein-Westfalen;58 bis unter 59 Jahre;285583;142301;143282
05;Nordrhein-Westfalen;59 bis unter 60 Jahre;278983;137963;141020
05;Nordrhein-Westfalen;60 bis unter 61 Jahre;271863;134081;137782
05;Nordrhein-Westfalen;61 bis unter 62 Jahre;263183;129501;133682
05;Nordrhein-Westfalen;62 bis unter 63 Jahre;248486;122044;126442
05;Nordrhein-Westfalen;63 bis unter 64 Jahre;241358;118487;122871
05;Nordrhein-Westfalen;64 bis unter 65 Jahre;230961;112404;118557
05;Nordrhein-Westfalen;65 bis unter 66 Jahre;220286;105833;114453
05;Nordrhein-Westfalen;66 bis unter 67 Jahre;214192;102027;112165
05;Nordrhein-Westfalen;67 bis unter 68 Jahre;202377;95357;107020
05;Nordrhein-Westfalen;68 bis unter 69 Jahre;198563;93053;105510
05;Nordrhein-Westfalen;69 bis unter 70 Jahre;190392;88852;101540
05;Nordrhein-Westfalen;70 bis unter 71 Jahre;188856;88189;100667
05;Nordrhein-Westfalen;71 bis unter 72 Jahre;186609;87332;99277
05;Nordrhein-Westfalen;72 bis unter 73 Jahre;168688;78348;90340
05;Nordrhein-Westfalen;73 bis unter 74 Jahre;153681;71038;82643
05;Nordrhein-Westfalen;74 bis unter 75 Jahre;138946;63431;75515
05;Nordrhein-Westfalen;75 bis unter 80 Jahre;706555;312585;393970
05;Nordrhein-Westfalen;80 bis unter 85 Jahre;718194;296845;421349
05;Nordrhein-Westfalen;85 bis unter 90 Jahre;359955;132575;227380
05;Nordrhein-Westfalen;90 Jahre und mehr;184859;51266;133593
05;Nordrhein-Westfalen;Insgesamt;17925570;8794888;9130682
__________
"zu ""gesamter Tabelle"":
Alle Länder: 
Bei den Bevölkerungsdaten handelt es sich um
Fortschreibungszahlen, die ab dem Berichtsjahr 2011 auf den
Ergebnissen des Zensus vom 09. Mai 2011 basieren.
Bevölkerungsdaten für die Berichtsjahre 1987 bis 2010
wurden in den alten Bundesländern aufgrund der Ergebnisse
der Volkszählung vom 25. Mai 1987 erstellt, in den neuen
Bundesländern bildet die am 3. Oktober 1990 aufgrund eines
Auszugs des zentralen Einwohnerregisters der ehemaligen DDR
festgestellte amtliche Einwohnerzahl die Grundlage.

Alle Länder: Die Entwicklung des Bevölkerungsstandes ab dem
Berichtsjahr 2016 ist aufgrund methodischer Änderungen in
den zugrunde liegenden Bevölkerungsbewegungsstatistiken nur
bedingt mit den Werten vor 2016 vergleichbar. Einschrän-
kungen bei der Genauigkeit der Ergebnisse können aus der er-
höhten Zuwanderung und den dadurch bedingten Problemen bei
der melderechtlichen Erfassung Schutzsuchender resultieren.
Baden-Württemberg (Berichtsjahr 1995-2010): Gebietsstand
01.01.1979
Baden-Württemberg (ab Berichtsjahr 2011): Gebietsstand
01.01.2011
Berlin: Kreistabelle liegt auch für Bezirke vor.
Hessen, Nordrhein-Westfalen, Saarland: Kreistabelle liegt
auch für Gemeinden vor.
Baden-Württemberg (31.12.2017): Abweichungen zu anderen
Veröffentlichungen ergeben sich ggf. durch nachträgliche
Korrekturen."
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2022.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 23.04.2022 / 18:42:24
