"wkreis_nr";"partei";"titel";"nname";"vname";"geb_jahr";"ges";"beruf";"wohnort";"listenplatz";"alter";"alter_kat";"name";"wkreis_2017_bez";"erststimm_perc";"MdL_2017";"stimme";"wahl"
"91";"AfD";NA;"Wagner";"Markus";"1964";"m";"Mitglied des Landtages";"Bad Oeynhausen";"1";"58";"55-64 J.";"Markus Wagner";NA;NA;"Ja";"zweitstimme";"Liste"
"48";"AfD";"Dr.";"Vincentz";"Martin";"1986";"m";"Mitglied des Landtages";"Krefeld";"2";"36";"35-44 J.";"Martin Vincentz";NA;NA;"Ja";"zweitstimme";"Liste"
"20";"AfD";NA;"Keith-Volkmer";"Andreas";"1967";"m";"Mitglied des Landtages";"Leverkusen";"3";"55";"55-64 J.";"Andreas Keith-Volkmer";NA;NA;"Ja";"zweitstimme";"Liste"
"109";"AfD";NA;"Loose";"Christian";"1975";"m";"Mitglied des Landtages";"Bochum";"4";"47";"45-54 J.";"Christian Loose";NA;NA;"Ja";"zweitstimme";"Liste"
"87";"AfD";"Dr.";"Blex";"Christian";"1975";"m";"Mitglied des Landtages";"Wadersloh";"5";"47";"45-54 J.";"Christian Blex";NA;NA;"Ja";"zweitstimme";"Liste"
"16";"AfD";NA;"Tritschler";"Sven";"1981";"m";"Mitglied des Landtages";"Köln";"6";"41";"35-44 J.";"Sven Tritschler";NA;NA;"Ja";"zweitstimme";"Liste"
"74";"AfD";NA;"Seli-Zacharias";"Enxhi";"1993";"w";"Wissenschaftliche Mitarbeiterin";"Gelsenkirchen";"7";"29";"25-34 J.";"Enxhi Seli-Zacharias";NA;NA;"Nein";NA;"Liste"
"22";"AfD";NA;"Clemens";"Carlo";"1989";"m";"Wissenschaftlicher Mitarbeiter";"Bergisch Gladbach";"8";"33";"25-34 J.";"Carlo Clemens";NA;NA;"Nein";NA;"Liste"
"32";"AfD";"Dr.";"Beucker";"Hartmut";"1962";"m";"Wissenschaftlicher Mitarbeiter, Rechtsanwalt";"Wuppertal";"9";"60";"55-64 J.";"Hartmut Beucker";NA;NA;"Nein";NA;"Liste"
"12";"AfD";NA;"Esser";"Klaus";"1981";"m";"Landesgeschäftsführer der AfD NRW";"Düren";"10";"41";"35-44 J.";"Klaus Esser";NA;NA;"Nein";NA;"Liste"
"71";"AfD";"Dr.";"Zerbin";"Daniel";"1973";"m";"Professor";"Dorsten";"11";"49";"45-54 J.";"Daniel Zerbin";NA;NA;"Nein";NA;"Liste"
"47";"AfD";NA;"Schalley";"Zacharias";"1991";"m";"Wissenschaftlicher Mitarbeiter";"Meerbusch";"12";"31";"25-34 J.";"Zacharias Schalley";NA;NA;"Nein";NA;"Liste"
